kepid,asymmetry_index,v_u_kurtosis,ingress_slope,egress_slope,loc_rowid,kepoi_name,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2
6849310,0.1656404532545238,2.533160653022297,-0.014854519248245,0.0181040938255911,182,K00864.01,Kepler-244 b,CONFIRMED,0,0,0,4.311780262,4.342e-06,-4.342e-06,173.576483,0.000848,-0.000848,2455006.576,0.000848,-0.000848,0.196,0.221,-0.196,2.7251,0.0314,-0.0314,,,,1154.0,15.0,-15.0,86.1,5527.0,74.0,-83.0,0.927,0.115,-0.062
6849310,0.1656404532545238,2.533160653022297,-0.014854519248245,0.0181040938255911,182,K00864.01,Kepler-244 b,CONFIRMED,0,0,0,4.311780262,4.342e-06,-4.342e-06,173.576483,0.000848,-0.000848,2455006.576,0.000848,-0.000848,0.196,0.221,-0.196,2.7251,0.0314,-0.0314,,,,1154.0,15.0,-15.0,86.1,5527.0,74.0,-83.0,0.927,0.115,-0.062
6849310,0.1656404532545238,2.533160653022297,-0.014854519248245,0.0181040938255911,182,K00864.01,Kepler-244 b,CONFIRMED,0,0,0,4.311780262,4.342e-06,-4.342e-06,173.576483,0.000848,-0.000848,2455006.576,0.000848,-0.000848,0.196,0.221,-0.196,2.7251,0.0314,-0.0314,,,,1154.0,15.0,-15.0,86.1,5527.0,74.0,-83.0,0.927,0.115,-0.062
6862603,0.1971393692138635,3.7030865336923022,-0.0008210588445678,-0.0006392282578024,187,K00866.01,,FALSE POSITIVE,0,1,1,2.861159894,3.059e-06,-3.059e-06,171.648106,0.00088,-0.00088,2455004.648,0.00088,-0.00088,0.965,0.13,-0.043,1.8832,0.0878,-0.0878,,,,1014.3,28.6,-28.6,58.3,6126.0,193.0,-214.0,1.021,0.324,-0.108
6862603,0.1971393692138635,3.7030865336923022,-0.0008210588445678,-0.0006392282578024,187,K00866.01,,FALSE POSITIVE,0,1,1,2.861159894,3.059e-06,-3.059e-06,171.648106,0.00088,-0.00088,2455004.648,0.00088,-0.00088,0.965,0.13,-0.043,1.8832,0.0878,-0.0878,,,,1014.3,28.6,-28.6,58.3,6126.0,193.0,-214.0,1.021,0.324,-0.108
6862603,0.1971393692138635,3.7030865336923022,-0.0008210588445678,-0.0006392282578024,187,K00866.01,,FALSE POSITIVE,0,1,1,2.861159894,3.059e-06,-3.059e-06,171.648106,0.00088,-0.00088,2455004.648,0.00088,-0.00088,0.965,0.13,-0.043,1.8832,0.0878,-0.0878,,,,1014.3,28.6,-28.6,58.3,6126.0,193.0,-214.0,1.021,0.324,-0.108
7366258,0.1720153912281585,1.8781507620780529,-0.0034708086097206,0.0130255561944089,188,K00880.01,Kepler-82 b,CONFIRMED,0,0,0,26.44439337,3.65e-05,-3.65e-05,194.12074,0.00108,-0.00108,2455027.121,0.00108,-0.00108,0.03,0.355,-0.03,3.9783,0.0417,-0.0417,,,,1843.5,22.2,-22.2,88.0,5427.0,108.0,-108.0,0.929,0.104,-0.069
7366258,0.1720153912281585,1.8781507620780529,-0.0034708086097206,0.0130255561944089,188,K00880.01,Kepler-82 b,CONFIRMED,0,0,0,26.44439337,3.65e-05,-3.65e-05,194.12074,0.00108,-0.00108,2455027.121,0.00108,-0.00108,0.03,0.355,-0.03,3.9783,0.0417,-0.0417,,,,1843.5,22.2,-22.2,88.0,5427.0,108.0,-108.0,0.929,0.104,-0.069
7366258,0.1720153912281585,1.8781507620780529,-0.0034708086097206,0.0130255561944089,188,K00880.01,Kepler-82 b,CONFIRMED,0,0,0,26.44439337,3.65e-05,-3.65e-05,194.12074,0.00108,-0.00108,2455027.121,0.00108,-0.00108,0.03,0.355,-0.03,3.9783,0.0417,-0.0417,,,,1843.5,22.2,-22.2,88.0,5427.0,108.0,-108.0,0.929,0.104,-0.069
7366258,0.1720153912281585,1.8781507620780529,-0.0034708086097206,0.0130255561944089,188,K00880.01,Kepler-82 b,CONFIRMED,0,0,0,26.44439337,3.65e-05,-3.65e-05,194.12074,0.00108,-0.00108,2455027.121,0.00108,-0.00108,0.03,0.355,-0.03,3.9783,0.0417,-0.0417,,,,1843.5,22.2,-22.2,88.0,5427.0,108.0,-108.0,0.929,0.104,-0.069
