loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2
7541,9221398,K06066.01,,FALSE POSITIVE,0,1,0,13.787520532,4.91e-07,-4.91e-07,136.762097,2.87e-05,-2.87e-05,2454969.762,2.87e-05,-2.87e-05,0.99,0.102,-0.033,2.55435,0.00192,-0.00192,,,,12978.0,3.3,-3.3,2126.1,6399.0,70.0,-89.0,1.289,0.217,-0.117
7542,9411317,K06067.01,,FALSE POSITIVE,0,1,0,8.2904597,3.409e-05,-3.409e-05,132.24956,0.00491,-0.00491,2454965.25,0.00491,-0.00491,0.426,0.037,-0.083,2.6002,0.0169,-0.0169,,,,173010.0,860.0,-860.0,297.2,4601.0,162.0,-178.0,0.566,0.043,-0.047
7545,9532123,K06069.01,,FALSE POSITIVE,1,0,0,8.214204254,8.059e-06,-8.059e-06,135.01403,0.00127,-0.00127,2454968.014,0.00127,-0.00127,1.092,0.202,-0.086,4.5905,0.012,-0.012,,,,74177.0,136.0,-136.0,613.1,5654.0,178.0,-198.0,0.774,0.169,-0.073
7546,9549471,K06070.01,,FALSE POSITIVE,0,1,1,15.71377375,7.266e-05,-7.266e-05,132.09973,0.004,-0.004,2454965.1,0.004,-0.004,0.864,0.312,-0.053,7.464,0.331,-0.331,,,,9482.0,166.0,-166.0,98.1,5812.0,156.0,-174.0,0.96,0.262,-0.121
7547,9649222,K06071.01,,FALSE POSITIVE,0,1,0,5.918619554,7.12e-07,-7.12e-07,132.924716,0.000101,-0.000101,2454965.925,0.000101,-0.000101,0.258,0.05,-0.006,3.94804,0.00396,-0.00396,,,,94124.0,103.0,-103.0,1117.0,5957.0,176.0,-211.0,0.971,0.312,-0.104
7548,9664215,K06072.01,,FALSE POSITIVE,0,1,0,3.319523463,1.277e-06,-1.277e-06,131.923046,0.0003,-0.0003,2454964.923,0.0003,-0.0003,1.162,0.442,-0.159,3.3465,0.0209,-0.0209,,,,38832.0,181.0,-181.0,249.4,5761.0,155.0,-155.0,0.791,0.193,-0.064
7549,7750740,K06162.01,,FALSE POSITIVE,0,1,0,5.874197307,3.15e-07,-3.15e-07,134.3187261,4.46e-05,-4.46e-05,2454967.319,4.46e-05,-4.46e-05,0.7,0.116,-0.017,4.26585,0.00253,-0.00253,,,,205700.0,99.2,-99.2,2200.0,6103.0,190.0,-212.0,1.083,0.334,-0.18
7550,7779942,K06163.01,,FALSE POSITIVE,1,0,0,19.7959731,0.0001312,-0.0001312,135.93667,0.00585,-0.00585,2454968.937,0.00585,-0.00585,0.156,0.184,-0.156,5.342,0.141,-0.141,,,,334.0,22.5,-22.5,16.6,6731.0,189.0,-259.0,1.876,0.563,-0.563
7552,7835312,K06164.02,,FALSE POSITIVE,1,0,0,209.00055019,,,149.8223238,,,2454982.822,,,,,,2.52,,,,,,,,,,,,,,,
7553,7838906,K06165.01,,FALSE POSITIVE,0,1,1,5.614892073,5.254e-06,-5.254e-06,132.842964,0.000772,-0.000772,2454965.843,0.000772,-0.000772,1.243,5.064,-0.104,3.7294,0.0401,-0.0401,,,,2373.0,22.8,-22.8,122.3,4289.0,95.0,-116.0,35.695,1.364,-7.731
